0;0;0;0;x;x;
1;168;45;177;TORSHAVN;x;
2;84;21;131;SCALLOWAY;x;
3;126;24;4;KIRKWALL;x;
4;168;27;132;DONEGAL;x;
5;0;30;5;RAPHOE;x;
6;42;33;133;FAHAN;x;
7;84;36;6;DERRY;x;
8;126;39;134;SLEMISH;x;
9;168;42;7;CARRICKFERGUS;x;
10;0;45;135;DOWNPATRICK;x;
11;42;48;8;BALTIMORE;x;
12;84;51;136;ARMAGH;x;
13;126;54;9;DUNDALK;x;
14;168;57;137;ARDEE;x;
15;0;60;10;GALWAY;x;
16;42;63;138;CASTLEBAR;x;
17;84;66;11;SLIGO;x;
18;126;69;139;ATHENRY;x;
19;168;72;12;DROMAHAIR;x;
20;0;75;140;BELCOO;x;
21;42;78;13;LONGFORD;x;
22;126;84;14;CAVAN;x;
23;84;81;141;DUBLIN;x;
24;168;87;142;WICKLOW;x;
25;0;90;15;KILDARE;x;
26;42;93;143;TRIM;x;
27;84;96;16;DROGHEDA;x;
28;126;99;144;BIRR;x;
29;168;102;17;ATHLONE;x;
30;0;105;145;ARDNAMURCHON;x;
31;42;108;18;UISNEACH;x;
32;84;111;146;WEXFORD;x;
33;126;114;19;ENNISCORTHY;x;
34;168;117;147;FERNS;x;
35;0;120;20;CARLOW;x;
36;42;123;148;KILKENNY;x;
37;84;126;21;ATHY;x;
38;126;129;149;GOWRAN;x;
39;168;132;22;CARRICK;x;
40;0;135;150;LIMERICK;x;
41;42;138;23;ENNIS;x;
42;84;141;151;NENAGH;x;
43;126;144;24;ROSCREA;x;
44;168;147;152;WATERFORD;x;
45;0;150;25;EMLY;x;
46;42;153;153;CLONMEL;x;
47;84;156;26;TRALEE;x;
48;126;159;154;CORK;x;
49;168;162;27;KINSALE;x;
50;0;165;155;LINDHOLM;x;
51;42;168;28;VIBORG;x;
52;84;171;156;AARHUS;x;
53;126;174;29;JELLING;x;
54;168;177;157;VORBASSE;x;
55;0;180;30;RIBE;x;
56;42;183;158;AABENRAA;x;
57;84;186;31;HEDEBY;x;
58;126;189;159;ROSKILDE;x;
